#{"t_start": 1724151161.8511932, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
2363.3513,500,778.367111,pursuer_0_0.4420480166020286,pursuer_0_1.0844632314011744,pursuer_0_0
2902.562,500,778.367171,pursuer_1_0.369279513587744,pursuer_1_1.2179667355374506,pursuer_1_0
2833.5051,500,778.367216,pursuer_0_0.39048955145797065,pursuer_0_1.1727079926476707,pursuer_0_0
-249.1184,500,778.36726,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2428.6965,500,895.1936,pursuer_0_0.4388373522814477,pursuer_0_1.308786454741142,pursuer_0_0
-253.87717,500,895.194051,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2571.0115,500,895.194116,pursuer_0_0.4184763227299735,pursuer_0_1.4562731185912268,pursuer_0_0
20.464901,500,895.194151,pursuer_1_0.7215584142715041,pursuer_1_1.4735433789170331,pursuer_1_0
2827.2827,500,895.19418,pursuer_0_0.390124982135431,pursuer_0_1.4823503992424443,pursuer_0_0
906.11884,500,895.194207,pursuer_1_0.6087493703887062,pursuer_1_1.3797882277659628,pursuer_1_0
-138.62976,500,895.194233,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2622.8936,500,895.194259,pursuer_1_0.3997522570378924,pursuer_1_1.2571275638169954,pursuer_1_0
2075.1528,500,895.194285,pursuer_0_0.47688105989035123,pursuer_0_1.486192802583125,pursuer_0_0
2849.3674,500,895.194311,pursuer_1_0.3683039409167367,pursuer_1_1.2322835585624639,pursuer_1_0
1383.7502,500,895.194336,pursuer_0_0.5543219021910174,pursuer_0_1.256600095716684,pursuer_0_0
1954.767,500,895.194363,pursuer_1_0.4761212680818771,pursuer_1_1.1382497848230473,pursuer_1_0
2835.7793,500,895.194389,pursuer_0_0.38447996398201467,pursuer_0_1.3148987435863384,pursuer_0_0
924.8049,500,895.194415,pursuer_1_0.6055456900848104,pursuer_1_1.3232521504802568,pursuer_1_0
2440.1978,500,895.19444,pursuer_0_0.4270340673061511,pursuer_0_1.2486138800262705,pursuer_0_0
2427.2356,500,895.194466,pursuer_1_0.424852226785681,pursuer_1_1.3467099124032007,pursuer_1_0
1435.3395,500,1005.287633,pursuer_0_0.5517888411639096,pursuer_0_1.262291694767726,pursuer_0_0
2137.1348,500,1005.288492,pursuer_1_0.45912407397932437,pursuer_1_1.4961067863042599,pursuer_1_0
187.87526,500,1005.288574,pursuer_0_0.7157235359717236,pursuer_0_1.4644363158750582,pursuer_0_0
1966.5706,500,1005.288618,pursuer_1_0.47722961159705585,pursuer_1_1.1430237532593506,pursuer_1_0
3021.1296,500,1005.288655,pursuer_0_0.3710538233218207,pursuer_0_1.4945111404072215,pursuer_0_0
1830.4424,500,1005.28869,pursuer_1_0.48923554305928846,pursuer_1_1.4531015003302985,pursuer_1_0
1341.0275,500,1005.288725,pursuer_0_0.5634653298969652,pursuer_0_1.269093246747619,pursuer_0_0
1118.4502,500,1005.288759,pursuer_1_0.5813875347020552,pursuer_1_1.47357362245686,pursuer_1_0
2329.6985,500,1005.288816,pursuer_0_0.4466408766468623,pursuer_0_1.093007923564252,pursuer_0_0
