#{"t_start": 1724071915.097326, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
2940.2844,500,340.239273,pursuer_0_0.37429357793076745,pursuer_0_1.4862323822780605,pursuer_0_0
2919.033,500,340.239297,pursuer_1_0.37547150444603056,pursuer_1_1.4862190329430571,pursuer_1_0
2818.813,500,340.239321,pursuer_0_0.3944624754425909,pursuer_0_1.285820002839834,pursuer_0_0
2388.692,500,340.239347,pursuer_1_0.4260109033398345,pursuer_1_1.0888699135470734,pursuer_1_0
2400.9136,500,421.784903,pursuer_0_0.5285317029969738,pursuer_0_1.0645845215140812,pursuer_0_0
1249.5665,500,421.785713,pursuer_1_0.5637985655803165,pursuer_1_1.368235675347969,pursuer_1_0
-141.1188,500,421.785768,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
1681.4843,500,421.7858,pursuer_1_0.508181743641123,pursuer_1_1.2399015715338075,pursuer_1_0
491.10123,500,421.785827,pursuer_0_0.6747363222257173,pursuer_0_1.4089133019219073,pursuer_0_0
-248.06393,500,421.785852,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2766.4768,500,421.785876,pursuer_0_0.3945822119098193,pursuer_0_1.195809147457776,pursuer_0_0
2837.4187,500,421.785899,pursuer_1_0.3771115673723982,pursuer_1_1.4137567592386375,pursuer_1_0
2458.4036,500,421.785923,pursuer_0_0.4227764692380426,pursuer_0_1.0503183675906316,pursuer_0_0
2436.9995,500,421.785946,pursuer_1_0.4215189539912941,pursuer_1_1.0401578811073198,pursuer_1_0
2672.4365,500,421.78597,pursuer_0_0.40720394894914064,pursuer_0_1.4849601206269432,pursuer_0_0
-256.70938,500,421.785993,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-161.33551,500,421.786016,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-236.76678,500,421.78604,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1651.2899,500,421.786063,pursuer_0_0.7266844754048328,pursuer_0_1.2006921432220559,pursuer_0_0.008616949672750063
-240.6726,500,421.786087,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-118.522064,500,486.32138,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-255.67712,500,486.322186,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1512.9418,500,486.322253,pursuer_0_0.6296149154649809,pursuer_0_1.2423454061437051,pursuer_0_0
289.53967,500,486.322293,pursuer_1_0.6862309897085591,pursuer_1_1.432179414926652,pursuer_1_0
2421.5564,500,486.322326,pursuer_0_0.4341273748901901,pursuer_0_1.0643171613082538,pursuer_0_0
2771.8018,500,486.322356,pursuer_1_0.38592989513476506,pursuer_1_1.1329469672799148,pursuer_1_0
-143.90334,500,486.322393,pursuer_0_0.5012186745753938,pursuer_0_0,pursuer_0_0
2852.093,500,486.32243,pursuer_1_0.3706195724009988,pursuer_1_1.306348896598434,pursuer_1_0
2173.0435,500,486.32247,pursuer_0_0.46418209656224446,pursuer_0_1.1300837865720323,pursuer_0_0
2350.4475,500,486.322532,pursuer_1_0.4317428268563246,pursuer_1_1.082442796326727,pursuer_1_0
1813.4285,500,486.322567,pursuer_0_0.5048662639412302,pursuer_0_1.1838296213363892,pursuer_0_0
1275.2572,500,486.322599,pursuer_1_0.5618497913836772,pursuer_1_1.3768888633108427,pursuer_1_0
2208.2869,500,486.322631,pursuer_0_0.5644266546432464,pursuer_0_1.1386085288894559,pursuer_0_0
-248.83102,500,486.322664,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2164.166,500,486.322689,pursuer_0_0.46544150589797517,pursuer_0_1.2249678929492531,pursuer_0_0
1895.6448,500,486.322712,pursuer_1_0.48964209037906364,pursuer_1_1.301165717937321,pursuer_1_0
-140.59818,500,561.717656,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-230.32596,500,561.717746,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2654.0293,500,561.717788,pursuer_0_0.4562409055802941,pursuer_0_1.352926692600069,pursuer_0_0
2167.0435,500,561.71782,pursuer_1_0.4577548879650163,pursuer_1_1.4980556605815047,pursuer_1_0
2696.419,500,561.717849,pursuer_0_0.4259381394470393,pursuer_0_1.0974664917899362,pursuer_0_0
2563.6462,500,561.717884,pursuer_1_0.4092017015443757,pursuer_1_1.3685901231462192,pursuer_1_0
2263.136,500,561.717941,pursuer_0_0.41741175242515144,pursuer_0_1.2651604817374298,pursuer_0_0
2514.7043,500,561.718008,pursuer_1_0.4164018985326213,pursuer_1_1.2669730005126754,pursuer_1_0
2046.2709,500,561.718052,pursuer_0_0.47236232337464595,pursuer_0_1.1461064879688776,pursuer_0_0
2029.6088,500,561.71809,pursuer_1_0.4649427983243176,pursuer_1_1.1239139463614691,pursuer_1_0
2210.9153,500,561.718126,pursuer_0_0.41327887328923624,pursuer_0_1.1221233802113089,pursuer_0_0
2531.5764,500,561.718162,pursuer_1_0.4100554003262175,pursuer_1_1.2030902993339445,pursuer_1_0
-120.79256,500,561.7182,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0.0
-262.44772,500,561.718232,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1252.6836,500,561.718259,pursuer_0_0.674208853631912,pursuer_0_1.4491443863293478,pursuer_0_0
-249.75476,500,561.718285,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2640.3708,500,628.155464,pursuer_0_0.40835106846748565,pursuer_0_1.3696297299445979,pursuer_0_0
568.10077,500,628.155547,pursuer_1_0.655237181516683,pursuer_1_1.3853281781798223,pursuer_1_0
2290.2014,500,628.155582,pursuer_0_0.5278979997123278,pursuer_0_1.0776769342288843,pursuer_0_0
1549.8486,500,628.155609,pursuer_1_0.5245662954970604,pursuer_1_1.2131668305388594,pursuer_1_0
1924.2643,500,628.155634,pursuer_0_0.4928732578835247,pursuer_0_1.1709621985073715,pursuer_0_0
